model,condition,size,status,coord_is_baseline,coordinator_record,coordinator_valid,coordinator_quads,coordinator_deficit,coordinator_rms,static_record,static_quads,static_deficit,static_rms,within_5_percent,logical_attempts,native_calls
B53,all,allocated,static_no_valid,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B53/full/r0_constraint_0/result.json,True,503,32.19813327431779,0.032014125041190625,,,,,False,1,1
B53,simple_defect,uniform,coordinator_dominates,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B53/full/r0_constraint_0/result.json,True,503,32.19813327431779,0.032014125041190625,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B53__simple_defect__uniform_0/result.json,506,64.70789213025718,0.07166092658819417,True,1,1
B53,simple_defect,allocated,coordinator_dominates,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B53/full/r0_constraint_0/result.json,True,503,32.19813327431779,0.032014125041190625,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B53__simple_defect__allocated_0/result.json,503,42.038121611826504,0.03778288168007814,True,1,0
B68,none,uniform,coordinator_dominates,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B68/full/r1_size_1/result.json,True,838,22.7765264700166,0.02543214565573819,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B68__none__uniform_0/result.json,874,96.61542490073828,0.03645117265808019,True,1,1
B68,none,allocated,coordinator_dominates,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B68/full/r1_size_1/result.json,True,838,22.7765264700166,0.02543214565573819,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B68__none__allocated_0/result.json,854,72.77659737571143,0.03267357393942006,True,1,1
B68,all,uniform,tradeoff,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B68/full/r1_size_1/result.json,True,838,22.7765264700166,0.02543214565573819,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B68__all__uniform_1/result.json,800,23.15028389463441,0.024451932283579992,True,2,2
B68,all,allocated,coordinator_dominates,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B68/full/r1_size_1/result.json,True,838,22.7765264700166,0.02543214565573819,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B68__all__allocated_1/result.json,823,24.059332489085534,0.029440753011558223,True,2,2
B68,simple_defect,uniform,tradeoff,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B68/full/r1_size_1/result.json,True,838,22.7765264700166,0.02543214565573819,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B68__simple_defect__uniform_1/result.json,800,23.15028389463441,0.024451932283579992,True,2,0
B68,simple_defect,allocated,coordinator_dominates,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B68/full/r1_size_1/result.json,True,838,22.7765264700166,0.02543214565573819,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B68__simple_defect__allocated_1/result.json,823,24.059332489085534,0.029440753011558223,True,2,0
B33,none,uniform,coordinator_dominates,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B33/full/r1_remove_0/result.json,True,918,4.883457361463778,0.007793714131025035,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B33__none__uniform_1/result.json,907,110.25931536728447,0.04051850950172439,True,2,2
B33,none,allocated,coordinator_dominates,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B33/full/r1_remove_0/result.json,True,918,4.883457361463778,0.007793714131025035,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B33__none__allocated_0/result.json,901,113.8473377750116,0.049226624686417274,True,1,1
B33,all,uniform,static_no_valid,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B33/full/r1_remove_0/result.json,True,918,4.883457361463778,0.007793714131025035,,,,,False,2,2
B33,all,allocated,static_dominates,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B33/full/r1_remove_0/result.json,True,918,4.883457361463778,0.007793714131025035,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B33__all__allocated_1/result.json,883,2.6636263909960176,0.007158567582786763,True,2,2
