model,module,status,valid,within_5_percent,feedback_baseline_fallback,module_record,baseline_record,module_quads,baseline_quads,module_deficit,baseline_deficit,module_rms,baseline_rms,common_positive_regression,newly_deficient_edges
B68,joint_one_shot,count_unmatched,True,False,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B68__simple_defect__allocated_1/result.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B68__none__uniform_0/result.json,823,874,24.059332489085534,96.61542490073828,0.029440753011558223,0.03645117265808019,3.7426089913201075,4
B68,joint_feedback,module_dominates,True,True,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B68/full/r1_size_1/result.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B68__none__uniform_0/result.json,838,874,22.7765264700166,96.61542490073828,0.02543214565573819,0.03645117265808019,3.6792339660544076,3
B33,size_only,baseline_dominates,True,True,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B33__none__allocated_0/result.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B33__none__uniform_1/result.json,901,907,113.8473377750116,110.25931536728447,0.049226624686417274,0.04051850950172439,16.7466180439926,13
B33,constraints_only,module_invalid,False,False,False,,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B33__none__uniform_1/result.json,,907,,110.25931536728447,,0.04051850950172439,,
B33,joint_one_shot,module_dominates,True,True,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B33__simple_defect__allocated_1/result.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B33__none__uniform_1/result.json,883,907,2.6636263909960176,110.25931536728447,0.007158567582786763,0.04051850950172439,0.1838202064539452,0
B33,joint_feedback,module_dominates,True,True,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B33/full/r1_remove_0/result.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B33__none__uniform_1/result.json,918,907,4.883457361463778,110.25931536728447,0.007793714131025035,0.04051850950172439,0.5867786974522975,0
B34,size_only,tradeoff,True,True,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B34__none__allocated_0/result.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B34__none__uniform_0/result.json,464,483,0.21053807495582627,0.23897138288141476,0.03484730514903215,0.030050611678607994,0.05785276223717871,0
B34,constraints_only,equivalent,True,True,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B34__simple_defect__uniform_0/result.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B34__none__uniform_0/result.json,483,483,0.23897138288141476,0.23897138288141476,0.030050611678607994,0.030050611678607994,0.0,0
B34,joint_one_shot,tradeoff,True,True,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B34__simple_defect__allocated_0/result.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B34__none__uniform_0/result.json,464,483,0.21053807495582627,0.23897138288141476,0.03484730514903215,0.030050611678607994,0.05785276223717871,0
B34,joint_feedback,equivalent,True,True,True,research://source-repository/research_runs/2026-09-20_cad_decision_v2/heldout/frozen_proposals/B34/baseline_diagnosis.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B34__none__uniform_0/result.json,483,483,0.23897138288141476,0.23897138288141476,0.030050611678607994,0.030050611678607994,0,0
B61,size_only,baseline_dominates,True,True,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B61__none__allocated_0/result.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B61__none__uniform_0/result.json,504,516,85.22442627817632,76.57385567354589,0.05807148141496789,0.0463199056696976,15.588663406105256,22
B61,constraints_only,module_dominates,True,True,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B61__simple_defect__uniform_0/result.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B61__none__uniform_0/result.json,510,516,14.880447140933725,76.57385567354589,0.035450213526909864,0.0463199056696976,0.6540061116716376,0
B61,joint_one_shot,module_dominates,True,True,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B61__simple_defect__allocated_0/result.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B61__none__uniform_0/result.json,508,516,13.161782918806546,76.57385567354589,0.03533867063217813,0.0463199056696976,0.6138994541401058,0
B61,joint_feedback,module_dominates,True,True,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B61/full/r0_size_1/result.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B61__none__uniform_0/result.json,512,516,12.943414445296767,76.57385567354589,0.026097166123762616,0.0463199056696976,0.7298011243104177,1
B70,size_only,count_unmatched,True,False,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B70__none__allocated_0/result.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B70__none__uniform_0/result.json,462,498,62.57425223238996,79.26310410061623,0.052553526124125914,0.06691284602659188,2.255354323697866,2
B70,constraints_only,module_dominates,True,True,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B70__simple_defect__uniform_0/result.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B70__none__uniform_0/result.json,478,498,21.73802124549377,79.26310410061623,0.04425611202679387,0.06691284602659188,1.1700304861937296,5
B70,joint_one_shot,module_dominates,True,True,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B70__simple_defect__allocated_0/result.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B70__none__uniform_0/result.json,480,498,12.764874373876335,79.26310410061623,0.031056687734941486,0.06691284602659188,0.33849683742069875,0
B70,joint_feedback,module_dominates,True,True,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B70/full/initial_allocated_0/result.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B70__none__uniform_0/result.json,480,498,12.764874373876335,79.26310410061623,0.031056687734941486,0.06691284602659188,0.33849683742069875,0
B65,size_only,tradeoff,True,True,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B65__none__allocated_0/result.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B65__none__uniform_0/result.json,491,490,106.44568438412963,77.59578992172214,0.055816875312924286,0.059512858333383635,39.68415082993662,57
B65,constraints_only,module_dominates,True,True,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B65__simple_defect__uniform_0/result.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B65__none__uniform_0/result.json,500,490,5.288758466180638,77.59578992172214,0.01396439725275072,0.059512858333383635,3.210207037421337,0
B65,joint_one_shot,module_dominates,True,True,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B65__simple_defect__allocated_0/result.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B65__none__uniform_0/result.json,502,490,7.0952022216399016,77.59578992172214,0.010158318259729708,0.059512858333383635,4.237798517977805,4
B65,joint_feedback,equivalent,True,True,True,research://source-repository/research_runs/2026-09-20_cad_decision_v2/heldout/frozen_proposals/B65/baseline_diagnosis.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B65__none__uniform_0/result.json,490,490,77.59578992172214,77.59578992172214,0.059512858333383635,0.059512858333383635,0,0
B31,size_only,tradeoff,True,True,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B31__none__allocated_0/result.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B31__none__uniform_1/result.json,476,464,121.17226090303674,124.45333881468169,0.07703061584668176,0.06363735372196912,20.779895896589657,21
B31,constraints_only,count_unmatched,True,False,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B31__simple_defect__uniform_0/result.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B31__none__uniform_1/result.json,544,464,48.67825193589856,124.45333881468169,0.04333962425938065,0.06363735372196912,4.770469416475925,6
B31,joint_one_shot,module_invalid,False,False,False,,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B31__none__uniform_1/result.json,,464,,124.45333881468169,,0.06363735372196912,,
B31,joint_feedback,module_invalid,False,False,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B31/full/initial_allocated_0/result.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B31__none__uniform_1/result.json,493,464,41.74293627187693,124.45333881468169,0.037784008900822404,0.06363735372196912,6.647863104662048,7
B73,size_only,module_dominates,True,True,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B73__none__allocated_0/result.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B73__none__uniform_0/result.json,506,504,33.02468370363943,59.131354851885575,0.03462431090580459,0.06021276579417163,2.938401877621951,12
B73,constraints_only,module_invalid,False,False,False,,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B73__none__uniform_0/result.json,,504,,59.131354851885575,,0.06021276579417163,,
B73,joint_one_shot,module_dominates,True,True,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B73__simple_defect__allocated_0/result.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B73__none__uniform_0/result.json,504,504,7.625493746379317,59.131354851885575,0.028451143322060713,0.06021276579417163,0.00452467761691909,0
B73,joint_feedback,module_dominates,True,True,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B73/full/initial_allocated_0/result.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B73__none__uniform_0/result.json,504,504,7.625493746379317,59.131354851885575,0.028451143322060713,0.06021276579417163,0.00452467761691909,0
